"depth","common","length","length_category","synoptic_reference","synoptic_latitude","synoptic_longitude","fish_latitude","fish_longitude","fish_site","site_comment","observers","do","temperature","salinity","conductivity","year","datetime"
0.6,"black sea bass",1.5,NA,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"black sea bass",2.5,NA,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"pipefish",20,NA,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"pipefish",19,NA,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"pipefish",19,NA,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"pipefish",21,NA,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"pipefish",20,NA,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"pipefish",14,NA,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"pipefish",18.5,NA,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"pipefish",20,NA,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"pipefish",20,NA,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"pipefish",18,NA,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"pipefish",20,NA,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"pipefish",14,NA,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"pipefish",20,NA,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"pipefish",18,NA,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"pipefish",11,NA,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"pipefish",6.5,NA,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"pipefish",11.5,NA,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"pipefish",10,NA,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"pipefish",8,NA,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"pipefish",9.5,NA,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"pipefish",6,NA,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"pipefish",4,NA,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"pipefish",6,NA,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"pipefish",6,NA,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"pipefish",5,NA,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"pipefish",11.5,NA,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"pipefish",5,NA,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"pipefish",8,NA,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"pipefish",5,NA,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"silver perch",3,NA,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"silver perch",3.5,NA,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"silver perch",3,NA,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"silver perch",3,NA,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"silver perch",3,NA,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"unidentified juvenile",1,NA,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"unidentified juvenile",1,NA,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"unidentified juvenile",1,NA,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"American halfbeak",6.5,NA,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"American halfbeak",6,NA,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"silver perch",NA,2,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"silver perch",NA,2,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"silver perch",NA,2,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"silver perch",NA,2,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"silver perch",NA,2,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"silver perch",NA,2,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"silver perch",NA,2,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"silver perch",NA,2,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"silver perch",NA,2,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"silver perch",NA,2,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"silver perch",NA,2,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"silver perch",NA,2,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"silver perch",NA,2.5,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"silver perch",NA,2.5,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"silver perch",NA,2.5,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"silver perch",NA,2.5,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"silver perch",NA,2.5,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
0.6,"silver perch",NA,2.5,"SB-T1-5",37.276163,-75.812326,37.2761595543,-75.8128901095,"FISH-SB1",NA,NA,14.86,29.25,29.5,49.535,2019,"2019-06-17T15:45:00"
